[ ID] Interval       Transfer     Bandwidth
[  1] 81.0000-82.0000 sec  1.12 GBytes  9.61 Gbits/sec
[  1] 82.0000-83.0000 sec  1.13 GBytes  9.67 Gbits/sec
[  1] 83.0000-84.0000 sec  1.11 GBytes  9.55 Gbits/sec
[  1] 84.0000-85.0000 sec  1.16 GBytes  9.99 Gbits/sec
[  1] 85.0000-86.0000 sec  1.14 GBytes  9.81 Gbits/sec
[  1] 86.0000-87.0000 sec  1.14 GBytes  9.82 Gbits/sec
[  1] 87.0000-88.0000 sec  1.14 GBytes  9.78 Gbits/sec
[  1] 88.0000-89.0000 sec  1.16 GBytes  9.92 Gbits/sec
[  1] 89.0000-90.0000 sec  1.14 GBytes  9.80 Gbits/sec
[  1] 90.0000-91.0000 sec  1.16 GBytes  10.0 Gbits/sec
[  1] 91.0000-92.0000 sec  1.20 GBytes  10.3 Gbits/sec
[  1] 92.0000-93.0000 sec  1.13 GBytes  9.70 Gbits/sec
[  1] 93.0000-94.0000 sec  1.06 GBytes  9.15 Gbits/sec
[  1] 94.0000-95.0000 sec  1.06 GBytes  9.12 Gbits/sec
[  1] 95.0000-96.0000 sec  1.05 GBytes  8.99 Gbits/sec
[  1] 96.0000-97.0000 sec  1.12 GBytes  9.60 Gbits/sec
[  1] 97.0000-98.0000 sec  1.12 GBytes  9.66 Gbits/sec
[  1] 98.0000-99.0000 sec  1.14 GBytes  9.75 Gbits/sec
[  1] 99.0000-100.0000 sec  1.13 GBytes  9.73 Gbits/sec
[  1] 100.0000-101.0000 sec  1.16 GBytes  9.96 Gbits/sec
[  1] 101.0000-102.0000 sec  1.08 GBytes  9.27 Gbits/sec
[  1] 102.0000-103.0000 sec  1.08 GBytes  9.28 Gbits/sec
[  1] 103.0000-104.0000 sec  1.03 GBytes  8.88 Gbits/sec
[  1] 104.0000-105.0000 sec  1.11 GBytes  9.50 Gbits/sec
[  1] 105.0000-106.0000 sec  1.13 GBytes  9.75 Gbits/sec
[  1] 106.0000-107.0000 sec  1.12 GBytes  9.60 Gbits/sec
[  1] 107.0000-108.0000 sec  1.13 GBytes  9.70 Gbits/sec
[  1] 108.0000-109.0000 sec  1.07 GBytes  9.20 Gbits/sec
[  1] 109.0000-110.0000 sec  1.09 GBytes  9.32 Gbits/sec
[  1] 110.0000-111.0000 sec  1.06 GBytes  9.15 Gbits/sec
[  1] 111.0000-112.0000 sec  1.09 GBytes  9.34 Gbits/sec
[  1] 112.0000-113.0000 sec  1.08 GBytes  9.29 Gbits/sec
[  1] 113.0000-114.0000 sec  1.12 GBytes  9.61 Gbits/sec
[  1] 114.0000-115.0000 sec  1.15 GBytes  9.87 Gbits/sec
[  1] 115.0000-116.0000 sec  1.10 GBytes  9.42 Gbits/sec
[  1] 116.0000-117.0000 sec  1.09 GBytes  9.36 Gbits/sec
[  1] 117.0000-118.0000 sec  1.07 GBytes  9.20 Gbits/sec
[  1] 118.0000-119.0000 sec  1.05 GBytes  9.06 Gbits/sec
[  1] 119.0000-120.0000 sec  1.17 GBytes  10.0 Gbits/sec
[  1] 120.0000-121.0000 sec  1.12 GBytes  9.66 Gbits/sec
[  1] 121.0000-122.0000 sec  1.15 GBytes  9.89 Gbits/sec
[  1] 122.0000-123.0000 sec  1.08 GBytes  9.26 Gbits/sec
[  1] 123.0000-124.0000 sec  1.03 GBytes  8.82 Gbits/sec
[  1] 124.0000-125.0000 sec  1.03 GBytes  8.86 Gbits/sec
[  1] 125.0000-126.0000 sec  1.02 GBytes  8.73 Gbits/sec
[  1] 126.0000-127.0000 sec  1.10 GBytes  9.48 Gbits/sec
[  1] 127.0000-128.0000 sec  1.07 GBytes  9.16 Gbits/sec
[  1] 128.0000-129.0000 sec  1.08 GBytes  9.24 Gbits/sec
[  1] 129.0000-130.0000 sec  1.06 GBytes  9.12 Gbits/sec
